City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
Albany,92,AU,1519942609,93,-35.02,117.88,59.32,4.21
Hobart,75,AU,1519941600,77,-42.88,147.33,59.0,5.82
Saldanha,0,ZA,1519938000,52,-33.01,17.94,69.8,6.93
Pacific Grove,90,US,1519942080,87,36.62,-121.92,56.34,19.46
Ushuaia,75,AR,1519938000,66,-54.81,-68.31,51.8,4.7
San Cristobal,92,EC,1519943149,100,-1.02,-79.44,64.5,2.98
Severo-Kurilsk,36,RU,1519942574,100,50.68,156.12,21.48,14.72
Yellowknife,40,CA,1519941600,59,62.45,-114.38,1.4,10.29
Labuhan,92,ID,1519942808,96,-2.54,115.51,72.6,1.97
Puerto Ayora,20,EC,1519938000,66,-0.74,-90.35,84.2,12.75
Rikitea,80,PF,1519942730,98,-23.12,-134.97,81.33,19.08
Bethel,75,US,1519941180,73,60.79,-161.76,19.4,6.93
East London,92,ZA,1519942728,100,-33.02,27.91,72.15,13.04
Dikson,32,RU,1519942738,80,73.51,80.55,-4.85,7.23
Busselton,20,AU,1519942746,100,-33.64,115.35,61.35,14.5
Hithadhoo,92,MV,1519942776,100,-0.6,73.08,82.72,7.67
Chokurdakh,76,RU,1519942758,78,70.62,147.9,-4.27,11.7
Wajid,48,SO,1519943151,39,3.81,43.25,84.7,7.67
Tiksi,64,RU,1519942449,58,71.64,128.87,-20.29,3.76
Cape Town,0,ZA,1519938000,64,-33.93,18.42,68.0,20.8
Manta,40,EC,1519941600,78,-0.95,-80.73,82.4,11.41
Lincoln,1,US,1519941300,25,40.8,-96.67,49.21,9.17
Maniitsoq,92,GL,1519942939,68,65.42,-52.9,30.97,7.56
Lebu,0,CL,1519942771,88,-37.62,-73.65,61.26,15.05
Kapit,76,MY,1519943154,98,2.02,112.94,73.23,2.08
Vila Velha,75,BR,1519941600,94,-3.71,-38.6,77.0,3.36
Avarua,40,CK,1519941600,74,-21.21,-159.78,86.0,6.93
Port Pirie,80,AU,1519941600,82,-33.18,138.01,68.0,3.36
Hermanus,32,ZA,1519942761,80,-34.42,19.24,62.52,7.78
Chibombo,80,ZM,1519942964,99,-14.68,28.09,64.45,4.65
Zhucheng,90,CN,1519938000,93,30.85,114.8,44.6,4.47
Atuona,8,PF,1519942736,99,-9.8,-139.03,81.37,17.74
Ponta do Sol,0,CV,1519943012,100,17.2,-25.09,69.0,7.0
Talnakh,64,RU,1519942734,75,69.49,88.39,-7.6,25.34
Ambon,88,ID,1519942821,100,-3.7,128.18,75.97,2.75
Saint-Augustin,75,CA,1519941600,69,45.63,-73.98,33.17,6.93
Siyabuswa,0,ZA,1519943159,53,-25.11,29.06,65.17,7.45
Antofagasta,20,CL,1519938000,32,-23.65,-70.4,69.8,14.99
Ziarat,8,PK,1519943159,88,30.38,67.73,40.24,6.11
Provideniya,90,RU,1519939800,92,64.42,-173.23,30.2,11.18
Rayachoti,0,IN,1519943160,68,14.06,78.75,56.8,3.76
Saskylakh,0,RU,1519942855,47,71.97,114.09,-29.47,10.8
Itaquyry,92,PY,1519943161,100,-24.93,-55.22,72.42,4.99
Barrow,40,US,1519942500,57,39.51,-90.4,53.33,13.87
Mahebourg,40,MU,1519938000,83,-20.41,57.7,80.6,11.41
Haines Junction,0,CA,1519943162,71,60.75,-137.51,-4.27,2.75
Dukat,68,RU,1519943162,78,62.55,155.55,-14.53,3.42
New Norfolk,75,AU,1519941600,77,-42.78,147.06,59.0,5.82
Mar del Plata,0,AR,1519942448,29,-46.43,-67.52,77.91,8.9
Port Elizabeth,90,ZA,1519938000,93,-33.92,25.57,66.2,13.94
Pevek,88,RU,1519942837,86,69.7,170.27,26.29,23.11
Upernavik,88,GL,1519942739,87,72.79,-56.15,23.14,9.13
Kapaa,75,US,1519941360,78,22.08,-159.32,76.87,18.34
