,News Org,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,BBC,"This Ancient Egyptian pharaoh invested more in images of himself than any other ruler, and for him, size really did… https://t.co/IUlHKvTATa",Thu Mar 08 21:28:00 +0000 2018,0.0,0.0,1.0,0.0,1
1,BBC,"""No matter where in the world, when civilisations first made art, they made it about us.""

@wmarybeard presents ton… https://t.co/1vJVwidLTH",Thu Mar 08 21:00:04 +0000 2018,-0.2732,0.052,0.845,0.103,2
2,BBC,"Jack Jarvis and Victor McDade are back for another hilarious six-part series. 

#StillGame | 9:30pm | @BBCOne |… https://t.co/zFtd4VQyKL",Thu Mar 08 20:33:04 +0000 2018,0.4019,0.144,0.856,0.0,3
3,BBC,"Lucy and Lee are back! 🙌🎉

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC",Thu Mar 08 20:03:04 +0000 2018,0.0,0.0,1.0,0.0,4
4,BBC,"What advice would YOU give your younger self? 🤔

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO",Thu Mar 08 18:00:06 +0000 2018,0.0,0.0,1.0,0.0,5
5,BBC,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY",Thu Mar 08 17:30:11 +0000 2018,-0.1027,0.159,0.664,0.177,6
6,BBC,"🔬 More than half of the UK can't name a famous woman in science. 

Time to change that. 
👉 https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S",Thu Mar 08 17:00:09 +0000 2018,0.0,0.0,1.0,0.0,7
7,BBC,"✍️🙌 Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS",Thu Mar 08 16:30:05 +0000 2018,0.5719,0.236,0.764,0.0,8
8,BBC,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

📺 Check o…",Thu Mar 08 16:05:42 +0000 2018,0.5803,0.181,0.819,0.0,9
9,BBC,"⚽️🥅 The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N",Thu Mar 08 15:30:09 +0000 2018,0.0,0.0,1.0,0.0,10
10,BBC,"RT @bbcmusic: 🙌 @Camila_Cabello just dropped the video for 'Never Be The Same' 💕
What do you think?

Watch 👉 https://t.co/gv60m6x9Wk https:…",Thu Mar 08 15:09:13 +0000 2018,0.0,0.0,1.0,0.0,11
11,BBC,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. 🤘😝

#InternationalWomensDay… https://t.co/EeOygOVfoh",Thu Mar 08 15:00:05 +0000 2018,0.0,0.0,1.0,0.0,12
12,BBC,"🎨🖼 #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
👉… https://t.co/rHDoqWL4iI",Thu Mar 08 14:30:02 +0000 2018,-0.4588,0.0,0.857,0.143,13
13,BBC,"🎓🎒 These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ",Thu Mar 08 13:30:05 +0000 2018,0.0,0.0,1.0,0.0,14
14,BBC,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. 🇸🇳 https://t.co/cy2ddCmEKo",Thu Mar 08 13:09:22 +0000 2018,0.0,0.0,1.0,0.0,15
15,BBC,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…",Thu Mar 08 13:02:03 +0000 2018,-0.5994,0.0,0.855,0.145,16
16,BBC,🎤 🎧Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa,Thu Mar 08 13:00:08 +0000 2018,0.0,0.0,1.0,0.0,17
17,BBC,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E",Thu Mar 08 12:34:42 +0000 2018,0.0,0.0,1.0,0.0,18
18,BBC,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB",Thu Mar 08 12:30:04 +0000 2018,0.0,0.0,1.0,0.0,19
19,BBC,"👷👷‍♀️ Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx",Thu Mar 08 12:00:02 +0000 2018,0.4753,0.205,0.795,0.0,20
20,BBC,"RT @BBCR1: 💛💛💛 

Who's ready for @thegreatkhalid in the Live Lounge?

Make sure you're listening to @claraamfo at 12pm 👉 https://t.co/48Ruy…",Thu Mar 08 11:46:51 +0000 2018,0.5859,0.211,0.789,0.0,21
21,BBC,"Life advice from one of our all-time favourite women, @DawnFrenchUK.  

#InternationalWomensDay #IWD2018 https://t.co/MAOUgpWb7J",Thu Mar 08 11:00:05 +0000 2018,0.0,0.0,1.0,0.0,22
22,BBC,RT @bbcthree: Happy International Women’s Day! Here's @StaceyDooley with some top tips for aspiring broadcasters #IWD2018 https://t.co/Rbq7…,Thu Mar 08 10:54:28 +0000 2018,0.6996,0.279,0.721,0.0,23
23,BBC,RT @bbcarts: Clay artist @_PhoebeCummings launches her new incredible new work on #InternationalWomensDay. Audiences can watch as the sculp…,Thu Mar 08 10:32:59 +0000 2018,0.0,0.0,1.0,0.0,24
24,BBC,"RT @BBCRadio4: Who are the women that inspire you the most?
From Dawn_French to @Leomie_Anderson, @ScarlettMoffatt to @saoirse_ronan, women…",Thu Mar 08 09:57:10 +0000 2018,0.5719,0.171,0.829,0.0,25
25,BBC,👔 The story behind Oscar winner James Ivory’s Timothee Chalamet shirt: https://t.co/CY4AJusVEg https://t.co/ANiWIYVSsu,Thu Mar 08 09:30:12 +0000 2018,0.5859,0.257,0.743,0.0,26
26,BBC,"🔧 Who built the world? Girls! 

#InternationalWomensDay #IWD2018 https://t.co/6QY6CDcp1h",Thu Mar 08 09:04:01 +0000 2018,0.0,0.0,1.0,0.0,27
27,BBC,🎧 @BBCR1's @ClaraAmfo gives aspiring DJs advice and tells us about who inspires her this #InternationalWomensDay.… https://t.co/FvBtbQ9cs1,Thu Mar 08 08:30:00 +0000 2018,0.4404,0.162,0.838,0.0,28
28,BBC,"💪 A brief history of #feminism. 

#InternationalWomensDay #IWD2018 https://t.co/EGm8W4OKJ2",Thu Mar 08 08:00:05 +0000 2018,0.0,0.0,1.0,0.0,29
29,BBC,"For more than a century people around the world have been marking #InternationalWomensDay. Here's why.
👉… https://t.co/rkKYo23Qfo",Thu Mar 08 07:30:06 +0000 2018,0.0,0.0,1.0,0.0,30
30,BBC,"'Harry was looking at his family for the first time in his life'. 

💛⚡️✨ David Thewlis reading #HarryPotter is trul… https://t.co/wAyCDFvrX2",Wed Mar 07 19:12:02 +0000 2018,0.0,0.0,1.0,0.0,31
31,BBC,"✂️ ‘My hair is a symbol of pride.’

💇🏽💇🏿💇🏾 Six stories about black women's hair.
👉 https://t.co/NfNvGpKpVi https://t.co/V1qrRJzwfu",Wed Mar 07 18:23:04 +0000 2018,0.0,0.0,1.0,0.0,32
32,BBC,The little mouse that inspired Pikachu is actually a rabbit! https://t.co/AxOQOaK4dS,Wed Mar 07 17:42:01 +0000 2018,0.4987,0.264,0.736,0.0,33
33,BBC,"RT @BBCTwo: If you haven't seen #ACSVersace yet, Penélope Cruz as Donatella Versace is everything... https://t.co/lH9kfRGqO2",Wed Mar 07 17:27:29 +0000 2018,0.0,0.0,1.0,0.0,34
34,BBC,"RT @BBCBreakfast: In many ways Hedy Lamarr was the archetypal Hollywood starlet, but the Austrian born actress was also an inventor and the…",Wed Mar 07 17:22:51 +0000 2018,0.0,0.0,1.0,0.0,35
35,BBC,RT @BBCScotlandNews: A Scottish school has won a prestigious award for its pioneering work helping children with their reading and writing…,Wed Mar 07 17:22:23 +0000 2018,0.8555,0.37,0.63,0.0,36
36,BBC,RT @bbceurovision: A storm is coming.@surieofficial  ⛈ 👉 https://t.co/LYIiBgcZdA https://t.co/heOKLnjo2N,Wed Mar 07 17:16:45 +0000 2018,0.0,0.0,1.0,0.0,37
37,BBC,RT @BBCTwo: Nostalgia heaven! How many of these 80s &amp; 90s things can you remember? 🤔 #BackInTimeForTea https://t.co/l0R6nHrTj1,Wed Mar 07 17:14:49 +0000 2018,0.5562,0.183,0.817,0.0,38
38,BBC,"📖 Time to 'embiggen' your vocabulary.

A new word, first heard on @TheSimpsons in 1996, has been added to the… https://t.co/qGvkGgjAcB",Wed Mar 07 17:13:49 +0000 2018,0.0,0.0,1.0,0.0,39
39,BBC,RT @bbccomedy: WOOF! ❤️#RikMayallDay https://t.co/ioJtvYVFRO,Wed Mar 07 16:15:06 +0000 2018,0.0,0.0,1.0,0.0,40
40,BBC,😱 The most hardcore baptism you’ll ever see. https://t.co/aEsVqMUPQ2,Wed Mar 07 14:30:03 +0000 2018,0.0,0.0,1.0,0.0,41
41,BBC,"#InternationalWomensDay is tomorrow, so there's no better time to test how much you know about female suffrage.
👉… https://t.co/6ulqfr8zyL",Wed Mar 07 13:24:05 +0000 2018,0.1742,0.14,0.751,0.109,42
42,BBC,🚂💀 All aboard London's Victorian railway for the dead. https://t.co/L7vJO4ybeD,Wed Mar 07 12:30:04 +0000 2018,-0.6369,0.082,0.597,0.321,43
43,BBC,"😍 The first polar bear cub to be born in the UK for 25 years has emerged at the @RZSS's @HighlandWPark!
👉… https://t.co/4fhzBaxwjF",Wed Mar 07 11:42:44 +0000 2018,0.0,0.0,1.0,0.0,44
44,BBC,"RT @bbccomedy: Today would have been the 60th birthday of the legend, the genius, the king Rik Mayall. We miss you, sir! #RikMayallDay http…",Wed Mar 07 11:07:18 +0000 2018,-0.2244,0.0,0.924,0.076,45
45,BBC,The wreck of a US aircraft carrier that was sunk during WW2 has been found off the coast of Australia. https://t.co/8NQfRdFXTE,Wed Mar 07 10:46:56 +0000 2018,-0.4404,0.0,0.868,0.132,46
46,BBC,RT @BBCFOUR: There's a very good reason this extreme firework was banned... https://t.co/pdfpcDiJ4h,Wed Mar 07 10:41:15 +0000 2018,0.4927,0.225,0.775,0.0,47
47,BBC,"RT @CBeebiesHQ: 3 out of 4 parents wouldn’t be able to save their baby from choking. 

Learn how to help in a first aid emergency…https://t…",Wed Mar 07 09:58:38 +0000 2018,0.4404,0.211,0.681,0.108,48
48,BBC,A moving story of how one woman transformed Alzheimer’s research forever. ❤️https://t.co/2fwJDbWT8x,Wed Mar 07 09:00:07 +0000 2018,0.0,0.0,1.0,0.0,49
